user_id;order_id;region;city
1001351840;1288481004;;Москва
1001351840;1290067275;Московская обл.;Москва
1001351840;1290133496;Московская обл.;Москва
1001377458;1291033504;Ростовская обл.;Ростов-на-Дону
1001377458;1291034115;Ростовская обл.;Ростов-на-Дону
1001377458;1291034621;Ростовская обл.;Ростов-на-Дону
1001377458;1293441873;Ростовская обл.;Ростов-на-Дону
1001377520;1295258233;Тюменская обл.;Тюмень
1001377533;1294699567;Москва г;Москва г
1001377593;1290290771;Москва;Москва
1001377722;1290629818;Московская обл.;Москва
1001377739;1295075433;Москва г;Москва г
1001377769;1290595663;Москва;Москва
1001377769;1290729868;Москва;Москва
1001377924;1292132009;Калининградская;Калининград
1001377976;1293454240;Ленинградская обл.;Санкт-Петербург
1001378021;1290805025;Свердловская;Екатеринбург
1001378031;1291353554;Тюменская;Демьянское
1001378056;1289348536;Приморский;Дальнегорск
1001378254;1290687138;Москва;Москва
1001378376;1294708285;Московская обл.;Москва
1001378565;1289273254;Московская обл;Балашиха г
1001378565;1289931466;Московская;Балашиха
1001378565;1292428922;Московская обл.;Балашиха
1001378660;1291960606;Москва;Москва
1001378660;1293892080;Москва;Москва
1001378861;1292178089;Москва;Москва
1001378861;1292178794;Коми;Усинск
1001378899;1288961010;Ставропольский;Пятигорск
1001378948;1293548630;Волгоградская;Волгоград
1001378948;1293549361;Волгоградская;Волгоград
1001379022;1288879415;Московская обл.;Москва
1001379022;1291960432;Московская обл.;Москва
1001379038;1290730573;Ростовская;Ростов-на-Дону
1001379283;1291397388;Краснодарский;Новороссийск
1001379415;1290467273;Москва;Москва
1001379466;1294516542;Московская обл.;Москва
1001379568;1293794766;Московская обл.;Балашиха
1001379724;1295255582;Мурманская обл.;Мурманск
1001379757;1289721204;Санкт-Петербург;Санкт-Петербург
1001380096;1289939606;Крым;Симферополь
1001380112;1292739349;Москва;Москва
1001380202;1290718724;Тульская обл.;Тула
1001380245;1289342347;Пермский;Пермь
1001380245;1289793717;Пермский;Пермь
1001380245;1290586671;Пермский;Пермь
1001380245;1290586860;Пермский;Пермь
1001380245;1291399516;Пермский;Пермь
1001380245;1291399569;Пермский;Пермь
1001380245;1291760775;Пермский;Пермь
1001380413;1292061576;Москва г;Москва г
1001380491;1295225394;Ульяновская обл.;Ульяновск
1001380559;1295221393;МОСКВА;МОСКВА
1001380592;1289757971;Краснодарский;Кропоткин
1001380601;1295185405;Северная Осетия-Алания респ.;Владикавказ
1001380730;1289974056;Санкт-Петербург;Санкт-Петербург
1001380813;1288144443;Краснодарский;Новороссийск
1001380813;1292986063;Краснодарский;Новороссийск
1001380849;1290228892;Ивановская обл.;Иваново
1001380849;1290315586;Ивановская обл.;Иваново
1001380849;1290315729;Ивановская обл.;Иваново
1001380849;1290500774;Ивановская обл.;Иваново
1001380849;1291052351;Ивановская;Иваново
1001380849;1291956453;Ивановская;Иваново
1001380849;1292991845;Ивановская обл.;Иваново
1001380849;1295113806;Ивановская обл.;Иваново
1001381141;1293458675;Московская обл.;Серпухов
1001381230;1293456273;Московская обл.;Москва
1001381248;1292088256;Рязанская;Рыбное
1001381248;1292667705;Рязанская;Рыбное
1001381304;1291400817;Санкт-Петербург;Санкт-Петербург
1001381304;1292906569;САНКТ-ПЕТЕРБУРГ;САНКТ-ПЕТЕРБУРГ
1001381304;1292906905;САНКТ-ПЕТЕРБУРГ;САНКТ-ПЕТЕРБУРГ
1001381304;1293450996;САНКТ-ПЕТЕРБУРГ;САНКТ-ПЕТЕРБУРГ
1001381499;1290156180;Татарстан респ.;Казань
1001381508;1290630563;Алтайский;Барнаул
1001381612;1293572396;Москва;Москва
1001381728;1295431016;МОСКВА;МОСКВА
1001381799;1295221272;Московская обл.;Москва
1001381804;1287826655;Санкт-Петербург;Санкт-Петербург
1001381804;1289720170;Ленинградская обл.;Санкт-Петербург
1001381804;1290601591;Санкт-Петербург;Санкт-Петербург
1001381804;1291403803;Ленинградская обл.;Санкт-Петербург
1001381804;1291886467;САНКТ-ПЕТЕРБУРГ;САНКТ-ПЕТЕРБУРГ
1001381828;1289137310;Санкт-Петербург;Санкт-Петербург
1001381866;1291277995;Москва;Москва
1001382055;1289340454;Санкт-Петербург;Санкт-Петербург
1001382090;1290285233;Московская обл.;Дзержинский
1001382090;1292164540;Московская обл.;Дзержинский
1001382198;1290382399;Москва;Москва
1001382262;1293467174;Архангельская;Архангельск
1001382294;1292614195;Ленинградская обл.;Санкт-Петербург
1001382385;1292168295;Москва;Москва
1001382410;1293543824;Свердловская;Верхняя Пышма
1001382410;1293544245;Свердловская;Верхняя Пышма
1001382599;1289336068;Санкт-Петербург;Санкт-Петербург
1001382632;1291074969;Удмуртская;Ижевск
1001382767;1290587439;Московская обл.;Видное
1001382811;1291683443;Москва;Москва
1001382811;1291683735;Москва;Москва
1001382829;1293457114;Северная Осетия - Алания;Владикавказ
1001382953;1291322419;Самарская;Тольятти
1001382953;1291322538;Самарская;Тольятти
1001382953;1292185277;Ивановская;Тольково
1001382953;1292388972;ТОЛЬЯТТИ;ТОЛЬЯТТИ
1001382953;1293561557;Самарская;Тольятти
1001382970;1290235460;Москва;Москва
1001383242;1289712570;Москва;Москва
1001383423;1291042867;Москва;Москва
1001383428;1291406901;Москва;Москва
1001383704;1291651278;Калмыкия;Элиста
1001383704;1294747493;Калмыкия;Элиста
1001383711;1290471502;Москва;Москва
1001383711;1290471765;Москва;Москва
1001383711;1290687844;Москва;Москва
1001383711;1293529434;Москва;Москва
1001383717;1291405444;Москва;Москва
1001383720;1290437378;Московская обл;Балашиха г
1001383723;1293520019;Архангельская обл.;Северодвинск
1001383726;1292533440;Мурманская;Снежногорск
1001383726;1293500456;Мурманская;Снежногорск
1001383758;1289818059;Пермский;Пермь
1001383758;1289901808;Пермский;Пермь
1001383758;1290880510;Пермский;Пермь
1001383758;1290880553;Пермский;Пермь
1001383758;1293509853;ПЕРМЬ;ПЕРМЬ
1001384012;1294655941;МОСКВА;СТУПИНО
1001384012;1294656132;МОСКВА;СТУПИНО
1001384012;1295226135;МОСКВА;СТУПИНО
1001384012;1295418364;;Ступино
1001384012;1295420336;МОСКВА;СТУПИНО
1001384099;1292401312;Москва;Москва
1001384119;1288939426;Московская обл;Пушкино г Пушкинский р-н
1001384176;1294361425;Саха (Якутия) респ.;Якутск
1001384185;1294629055;Москва г;Москва г
1001384254;1290219752;Бурятия респ.;Улан-Удэ
1001384329;1289249466;Челябинская обл.;Челябинск
1001384329;1291410857;Челябинская обл.;Челябинск
1001384329;1291410871;Челябинская обл.;Челябинск
1001384329;1291410955;Челябинская обл.;Челябинск
1001384329;1294707612;Челябинская обл.;Челябинск
1001384429;1289973751;Московская обл;Пушкино г Пушкинский р-н
1001384457;1295428261;Москва г;Москва г
1001384490;1289946801;Санкт-Петербург;Санкт-Петербург
1001384653;1295063757;;qwqeq
1001384799;1293442898;Москва;Москва
1001384883;1289232679;Нижегородская;Нижний Новгород
1001384883;1290923955;Нижегородская;Нижний Новгород
1001384883;1291034955;Нижегородская;Нижний Новгород
1001384883;1291034980;Нижегородская;Нижний Новгород
1001384883;1291396975;Нижегородская;Нижний Новгород
1001385017;1290580725;Челябинская;Челябинск
1001385017;1291160782;Челябинская;Челябинск
1001385027;1290622194;Москва;Москва
1001385050;1294361967;Свердловская обл.;Нижний Тагил
1001385171;1289878735;Самарская;Самара
1001385185;1290304855;Амурская обл.;Благовещенск
1001385223;1293000634;Кемеровская;Кемерово
1001385361;1289106853;Саха (Якутия) респ.;Якутск
1001385430;1289530410;Москва;Москва
1001385430;1290689924;Москва;Москва
1001385513;1288236943;Ямало-Ненецкий;Губкинский
1001385614;1291294684;Астраханская;Астрахань
1001385614;1292766281;Астраханская;Астрахань
1001385724;1290500801;Орловская;Орёл
1001385743;1289471708;Краснодарский;Краснодар
1001385956;1290566190;Москва;Москва
1001385969;1290392016;Ленинградская обл.;Санкт-Петербург
1001390398;1288148068;Воронежская;Павловск
1001390398;1290269851;Воронежская;Павловск
1001390398;1291668896;Воронежская;Павловск
1001390398;1293530830;Воронежская;Павловск
1001390398;1294127230;Воронежская;Павловск
1001390398;1294348837;Воронежская;Павловск
1001390500;1295177222;Удмуртская респ.;Ижевск
1001433356;1292265706;Кемеровская;Кемерово
1001433356;1292729464;Кемеровская;Кемерово
1001433438;1289940673;Санкт-Петербург;Санкт-Петербург
1001433670;1292112548;Москва;Москва
1001437308;1289334279;Москва;Москва
1001438660;1289568818;Кабардино-Балкарская;Нальчик
1001438660;1290584601;Кабардино-Балкарская;Нальчик
1001438688;1290854561;Московская обл.;Люберцы
1001438688;1290858503;Московская обл.;Люберцы
1001438688;1291667257;Московская обл.;Люберцы
1001438688;1292709880;Московская обл.;Люберцы
1001438771;1290035431;Крым;Саки
1001438771;1290173387;Крым респ.;Симферополь
1001453200;1291027418;Челябинская обл.;Магнитогорск
1001453724;1289394297;Татарстан;Лениногорск
1001454607;1294915214;Самарская;Самара
1001454862;1292576188;Москва г;Москва г
1001454905;1289999002;Красноярский край;Норильск
1001454905;1290682282;Красноярский край;Норильск
1001454905;1291402421;Красноярский край;Норильск
1001454905;1291659448;Красноярский край;Норильск
1001454905;1292159942;Красноярский край;Норильск
1001454905;1292986968;Красноярский край;Норильск
1001454905;1293178921;;Норильск
1001454905;1293198711;Красноярский край;Норильск
1001454905;1293198740;Красноярский край;Норильск
1001454909;1290703199;Москва;Москва
1001455100;1288049542;Карелия;Чална-1
1001455100;1290318807;Карелия;Чална-1
1001455317;1291141544;Москва;Москва
1001455876;1290975273;Хабаровский край;Хабаровск
1001456358;1290578716;Москва;Москва
1001456712;1289335611;Пермский край;Березники
1001456712;1290579998;Пермский край;Березники
1001461060;1289474959;Тамбовская обл.;Тамбов
1001462132;1291548012;Челябинская;Челябинск
1001462132;1291601532;Челябинская;Челябинск
1001462651;1290724341;Московская;Сходня
1001462651;1290724505;Московская;Сходня
1001463692;1291052753;Пермский;Пермь
1001464199;1292248207;Иркутская;Чунский
1001465176;1289114939;Саха (Якутия) респ.;Якутск
1001465176;1289995905;Саха (Якутия) респ.;Якутск
1001465542;1293013086;Московская обл;Химки г
1001465582;1289176043;Татарстан;Набережные Челны
1001465582;1290228681;Татарстан;Набережные Челны
1001465582;1291492097;Татарстан;Набережные Челны
1001465582;1291630760;Татарстан;Набережные Челны
1001465582;1291651440;Татарстан;Набережные Челны
1001465582;1292793715;Татарстан;Набережные Челны
1001465911;1290909576;Владимирская обл.;Владимир
1001466010;1287784582;Хабаровский;Ванино
